               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.048194,             0.03426,                   0,             0.75336,             0.61522,             0.68105,              0.3044,            0.048691,            0.021081,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.047856,            0.033823,                   0,              0.7556,             0.62794,             0.69248,             0.31285,            0.048476,            0.019958,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.048143,            0.034356,                   0,             0.75591,             0.60926,             0.68486,             0.31299,            0.048532,            0.019828,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.047627,             0.03341,                   0,             0.74872,             0.62771,              0.6912,             0.30607,            0.048717,            0.019846,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.047874,            0.034192,                   0,             0.75123,              0.6247,             0.68746,              0.3032,            0.048532,            0.019787,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.047243,            0.033027,                   0,             0.76518,             0.63444,             0.71384,             0.33359,            0.047488,            0.019476,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.047734,            0.034309,                   0,             0.74021,             0.63575,             0.69289,             0.30828,            0.047839,            0.019836,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.047169,            0.033724,                   0,             0.77223,             0.62767,             0.70646,             0.32621,            0.047239,            0.019576,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.047116,            0.034403,                   0,             0.74514,             0.62713,             0.68956,             0.31695,             0.04743,             0.02006,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.047402,            0.034405,                   0,             0.76083,             0.62849,             0.70049,             0.32576,            0.047691,            0.019912,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.045947,            0.034032,                   0,             0.76869,             0.65511,             0.71644,             0.32899,            0.047203,            0.019478,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.046466,            0.033635,                   0,             0.76876,             0.62296,             0.70594,             0.32544,            0.047599,            0.019645,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.046972,            0.033893,                   0,             0.73696,             0.64638,              0.6896,             0.30294,            0.047218,            0.020079,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.045917,            0.034123,                   0,             0.75046,             0.65665,             0.71132,             0.31867,            0.047001,            0.019691,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.045892,            0.033133,                   0,             0.73445,              0.6293,             0.69216,             0.32095,            0.047538,            0.019657,                   0,           0.0066835,           0.0066835,           0.0066835
